Keterangan,Menit,Tegangan Baterai,Arus Beban,SOC
Tanpa beban,0,"12,76",-,100%
Pompa,1,"12,43","2,2",
Pompa,2,"12,42","2,06",
Pompa,3,"12,43","2,04",
Pompa,4,"12,43","2,04",
Pompa,5,"12,43","2,04",
Pompa,6,"12,43","2,04",
Pompa,7,"12,43","2,02",
Pompa,8,"12,44","2,02",
Pompa,9,"12,45","2,02",
Pompa,10,"12,45","2,02",
Pompa,11,"12,45","2,02",
Pompa,12,"12,45",2,
Pompa,13,"12,45",2,
Pompa,14,"12,44","1,99",
Pompa,15,"12,45","1,99",
Pompa,16,"12,45","1,99",
Pompa,17,"12,45","1,96",
Pompa,18,"12,45","1,98",
Pompa,19,"12,45","1,97",
Pompa,20,"12,45","1,95",
Pompa,21,"12,45","1,95",
Pompa,22,"12,45","1,96",
Pompa,23,"12,45","1,95",
Pompa,24,"12,45","1,94",
Pompa,25,"12,45","1,94",
Pompa,26,"12,45","1,94",
Pompa,27,"12,45","1,95",
Pompa,28,"12,45","1,95",
Pompa,29,"12,44","1,93",
Pompa,30,"12,44","1,94",
Pompa,31,"12,44","1,94",
Pompa,32,"12,44","1,93",
Pompa,33,"12,44","1,93",
Pompa,34,"12,44","1,92",
Pompa,35,"12,44","1,92",
Pompa,36,"12,43","1,92",
Pompa,37,"12,43","1,91",
Pompa,38,"12,43","1,93",
Pompa,39,"12,43","1,91",
Pompa,40,"12,43","1,92",
Pompa,41,"12,43","1,925",
Pompa,42,"12,43","1,9",
Pompa,43,"12,43","1,905",
Pompa,44,"12,43","1,86",
Pompa,45,"12,43","1,86",
Pompa,46,"12,43","1,86",
Pompa,47,"12,43","1,85",
Pompa,48,"12,42","1,81",
Pompa,49,"12,42","1,83",
Pompa,50,"12,42","1,81",
Pompa,51,"12,41","1,83",
Pompa,52,"12,41","1,82",
Pompa,53,"12,41","1,825",
Pompa,54,"12,41","1,82",
Pompa,55,"12,41","1,83",
Pompa,56,"12,41","1,825",
Pompa,57,"12,41","1,81",
Pompa,58,"12,41","1,81",
Pompa,59,"12,4","1,83",
Pompa,60,"12,4","1,8",
Pompa,61,"12,39","1,82",
Pompa,62,"12,39","1,8",
Pompa,63,"12,39","1,84",
Pompa,64,"12,39","1,81",
Pompa,65,"12,39","1,83",
Pompa,66,"12,39","1,82",
Pompa,67,"12,39","1,82",
Pompa,68,"12,39","1,81",
Pompa,69,"12,39","1,82",
Pompa,70,"12,38","1,82",
Pompa,71,"12,38","1,82",
Pompa,72,"12,38","1,839",
Pompa,73,"12,37","1,84",
Pompa,74,"12,37","1,82",
Pompa,75,"12,37","1,83",
Pompa,76,"12,37","1,82",
Pompa,77,"12,37","1,8",
Pompa,78,"12,37","1,8",
Pompa,79,"12,37","1,81",
Pompa,80,"12,36","1,82",
Pompa,81,"12,36","1,82",
Pompa,82,"12,36","1,8",
Pompa,83,"12,36","1,81",
Pompa,84,"12,36","1,81",
Pompa,85,"12,36","1,81",
Pompa,86,"12,36","1,8",
Pompa,87,"12,36","1,82",
Pompa,88,"12,36","1,83",
Pompa,89,"12,35","1,83",
Pompa,90,"12,35","1,82",
Pompa,91,"12,34","1,84",
Pompa,92,"12,34","1,84",
Pompa,93,"12,33","1,83",
Pompa,94,"12,33","1,83",
Pompa,95,"12,33","1,83",
Pompa,96,"12,33","1,83",
Pompa,97,"12,33","1,83",
Pompa,98,"12,32","1,82",
Pompa,99,"12,32","1,83",
Pompa,100,"12,32","1,83",
Pompa,101,"12,32","1,82",
Pompa,102,"12,32","1,81",
Pompa,103,"12,32","1,82",
Pompa,104,"12,31","1,83",
Pompa,105,"12,31","1,81",
Pompa,106,"12,31","1,81",
Pompa,107,"12,31","1,82",
Pompa,108,"12,31","1,82",
Pompa,109,"12,31","1,82",
Pompa,110,"12,31","1,82",
Pompa,111,"12,3","1,82",
Pompa,112,"12,3","1,82",
Pompa,113,"12,3","1,83",
Pompa,114,"12,3","1,83",
Pompa,115,"12,3","1,8",
Pompa,116,"12,3","1,81",
Pompa,117,"12,29","1,82",
Pompa,118,"12,29","1,82",
Pompa,119,"12,29","1,82",
Pompa,120,"12,29","1,82",
Pompa,121,"12,29","1,84",
Pompa,122,"12,28","1,83",
Pompa,123,"12,28","1,82",
Pompa,124,"12,28","1,83",
Rest,Rest 12 menit,"12,47",-,80%
Pompa,125,"12,32","1,9",
Pompa,126,"12,29","1,84",
Pompa,127,"12,29","1,84",
Pompa,128,"12,29","1,84",
Pompa,129,"12,27","1,86",
Pompa,130,"12,27","1,83",
Pompa,131,"12,27","1,83",
Pompa,132,"12,27","1,83",
Pompa,133,"12,27","1,84",
Pompa,134,"12,26","1,84",
Pompa,135,"12,26","1,83",
Pompa,136,"12,26","1,83",
Pompa,137,"12,26","1,83",
Pompa,138,"12,26","1,82",
Pompa,139,"12,26","1,82",
Pompa,140,"12,25","1,81",
Pompa,141,"12,25","1,82",
Pompa,142,"12,25","1,81",
Pompa,143,"12,25","1,82",
Pompa,144,"12,25","1,83",
Pompa,145,"12,25","1,82",
Pompa,146,"12,25","1,82",
Pompa,147,"12,25","1,82",
Pompa,148,"12,25","1,83",
Pompa,149,"12,25","1,83",
Pompa,150,"12,22","1,84",
Pompa,151,"12,23","1,83",
Pompa,152,"12,23","1,83",
Pompa,153,"12,23","1,85",
Pompa,154,"12,23","1,83",
Pompa,155,"12,23","1,84",
Pompa,156,"12,21","1,83",
Pompa,157,"12,21","1,84",
Pompa,158,"12,21","1,84",
Pompa,159,"12,21","1,84",
Pompa,160,"12,21","1,86",
Pompa,161,"12,21","1,84",
Pompa,162,"12,2","1,86",
Pompa,163,"12,2","1,83",
Pompa,164,"12,2","1,83",
Pompa,165,"12,2","1,82",
Rest,Rest 10 menit,"12,39",-,77%
Pompa,166,"12,25","1,92",
Pompa,167,"12,22","1,86",
Pompa,168,"12,2","1,9",
Pompa,169,"12,2","1,88",
Pompa,170,"12,2","1,88",
Pompa,171,"12,2","1,87",
Pompa,172,"12,19","1,86",
Pompa,173,"12,19","1,88",
Pompa,174,"12,18","1,86",
Pompa,175,"12,18","1,85",
Pompa,176,"12,18","1,85",
Pompa,177,"12,18","1,85",
Pompa,178,"12,18","1,84",
Pompa,179,"12,17","1,84",
Pompa,180,"12,17","1,84",
Pompa,181,"12,17","1,85",
Pompa,182,"12,17","1,84",
Pompa,183,"12,17","1,84",
Pompa,184,"12,17","1,84",
Pompa,185,"12,16","1,84",
Pompa,186,"12,16","1,84",
Pompa,187,"12,16","1,83",
Pompa,188,"12,15","1,84",
Pompa,189,"12,15","1,82",
Pompa,190,"12,15","1,81",
Pompa,191,"12,15","1,839",
Pompa,192,"12,14","1,82",
Pompa,193,"12,14","1,839",
Pompa,194,"12,14","1,83",
Pompa,195,"12,14","1,84",
Pompa,196,"12,14","1,84",
Pompa,197,"12,13","1,83",
Pompa,198,"12,13","1,83",
Pompa,199,"12,13","1,84",
Pompa,200,"12,12","1,84",
Pompa,201,"12,12","1,83",
Pompa,202,"12,12","1,83",
Rest,Rest 12 menit,"12,3",,68%
Pompa,203,"12,15","1,92",
Pompa,204,"12,13","1,86",
Pompa,205,"12,13","1,86",
Pompa,206,"12,13","1,89",
Pompa,207,"12,13","1,88",
Pompa,208,"12,12","1,87",
Pompa,209,"12,12","1,88",
Pompa,210,"12,12","1,87",
Pompa,211,"12,12","1,88",
Pompa,212,"12,11","1,88",
Pompa,213,"12,11","1,86",
Pompa,214,"12,1","1,89",
Pompa,215,"12,1","1,87",
Pompa,216,"12,09","1,87",
Pompa,217,"12,09","1,87",
Pompa,218,"12,09","1,85",
Pompa,219,"12,09","1,85",
Pompa,220,"12,09","1,86",
Pompa,221,"12,08","1,86",
Pompa,222,"12,08","1,88",
Pompa,223,"12,08","1,88",
Pompa,224,"12,08","1,87",
Pompa,225,"12,07","1,88",
Pompa,226,"12,07","1,88",
Pompa,227,"12,07","1,87",
Pompa,228,"12,07","1,87",
Pompa,229,"12,07","1,88",
Pompa,230,"12,06","1,86",
Pompa,231,"12,06","1,86",
Pompa,232,"12,06","1,87",
Pompa,233,"12,05","1,88",
Pompa,234,"12,05","1,87",
Pompa,235,"12,05","1,86",
Pompa,236,"12,05","1,88",
Pompa,237,"12,04","1,86",
Pompa,238,"12,04","1,86",
Pompa,239,"12,04","1,87",
Pompa,240,"12,04","1,89",
Tanpa beban,Akhir,"12,19",-,60%
