Waktu (menit),Tegangan Charging,Arus Beban,Tegangan Baterai,SOC
0,13.12,1.2,12.06,50.0
10,13.28,1.2,12.09,52.15
50,13.35,1.2,12.13,55.0
90,13.39,1.2,12.16,57.15
130,13.43,1.2,12.19,60.0
170,13.47,1.2,12.22,61.66
210,13.51,1.2,12.24,63.33
250,13.56,1.2,12.27,65.83
290,13.6,1.2,12.29,67.49
330,13.64,1.2,12.32,70.0
370,13.67,1.2,12.34,72.0
410,13.7,1.2,12.37,75.0
450,13.73,1.2,12.39,77.0
490,13.76,1.2,12.42,80.0
530,13.8,1.2,12.44,82.5
570,13.8,1.2,12.47,86.25
710,13.8,1.2,12.5,90.0
750,13.8,1.2,12.52,91.0
790,13.8,1.2,12.54,92.0
830,13.8,1.2,12.55,92.5
870,13.8,1.2,12.56,93.0
910,13.8,1.2,12.58,94.0
950,13.8,1.2,12.59,94.5
990,13.8,1.2,12.6,95.0
1030,13.8,1.2,12.61,95.5
1070,13.8,1.2,12.62,96.0
1110,13.8,1.2,12.63,96.5
1150,13.8,1.2,12.64,97.0
1190,13.8,1.2,12.65,97.5
1230,13.8,1.2,12.66,98.0
1270,13.8,1.2,12.67,98.5
1310,13.8,1.2,12.68,99.0
1350,13.8,1.2,12.69,99.5
1390,13.8,1.2,12.69,99.5
