Keterangan,Menit,Tegangan Baterai,Arus Beban,SOC
Tanpa beban,0,12.76,1.8627375000000002,100.0%
Pompa,1,12.43,2.2,7281.47%
Pompa,2,12.42,2.06,7213.99%
Pompa,3,12.43,2.04,7308.16%
Pompa,4,12.43,2.04,7308.16%
Pompa,5,12.43,2.04,7308.16%
Pompa,6,12.43,2.04,7308.16%
Pompa,7,12.43,2.02,7311.53%
Pompa,8,12.44,2.02,7402.37%
Pompa,9,12.45,2.02,7493.22%
Pompa,10,12.45,2.02,7493.22%
Pompa,11,12.45,2.02,7493.22%
Pompa,12,12.45,2.0,7496.76%
Pompa,13,12.45,2.0,7496.76%
Pompa,14,12.44,1.99,7407.67%
Pompa,15,12.45,1.99,7498.51%
Pompa,16,12.45,1.99,7498.51%
Pompa,17,12.45,1.96,7503.56%
Pompa,18,12.45,1.98,7500.19%
Pompa,19,12.45,1.97,7501.88%
Pompa,20,12.45,1.95,7505.13%
Pompa,21,12.45,1.95,7505.13%
Pompa,22,12.45,1.96,7503.56%
Pompa,23,12.45,1.95,7505.13%
Pompa,24,12.45,1.94,7506.58%
Pompa,25,12.45,1.94,7506.58%
Pompa,26,12.45,1.94,7506.58%
Pompa,27,12.45,1.95,7505.13%
Pompa,28,12.45,1.95,7505.13%
Pompa,29,12.44,1.93,7417.36%
Pompa,30,12.44,1.94,7415.86%
Pompa,31,12.44,1.94,7415.86%
Pompa,32,12.44,1.93,7417.36%
Pompa,33,12.44,1.93,7417.36%
Pompa,34,12.44,1.92,7418.89%
Pompa,35,12.44,1.92,7418.89%
Pompa,36,12.43,1.92,7328.14%
Pompa,37,12.43,1.91,7329.71%
Pompa,38,12.43,1.93,7326.61%
Pompa,39,12.43,1.91,7329.71%
Pompa,40,12.43,1.92,7328.14%
Pompa,41,12.43,1.925,7327.38%
Pompa,42,12.43,1.9,7331.26%
Pompa,43,12.43,1.905,7330.5%
Pompa,44,12.43,1.86,7336.8%
Pompa,45,12.43,1.86,7336.8%
Pompa,46,12.43,1.86,7336.8%
Pompa,47,12.43,1.85,7337.87%
Pompa,48,12.42,1.81,7250.92%
Pompa,49,12.42,1.83,7249.15%
Pompa,50,12.42,1.81,7250.92%
Pompa,51,12.41,1.83,7158.47%
Pompa,52,12.41,1.82,7159.31%
Pompa,53,12.41,1.825,7158.89%
Pompa,54,12.41,1.82,7159.31%
Pompa,55,12.41,1.83,7158.47%
Pompa,56,12.41,1.825,7158.89%
Pompa,57,12.41,1.81,7160.23%
Pompa,58,12.41,1.81,7160.23%
Pompa,59,12.4,1.83,7067.79%
Pompa,60,12.4,1.8,7070.49%
Pompa,61,12.39,1.82,6977.94%
Pompa,62,12.39,1.8,6979.81%
Pompa,63,12.39,1.84,6976.13%
Pompa,64,12.39,1.81,6978.85%
Pompa,65,12.39,1.83,6977.11%
Pompa,66,12.39,1.82,6977.94%
Pompa,67,12.39,1.82,6977.94%
Pompa,68,12.39,1.81,6978.85%
Pompa,69,12.39,1.82,6977.94%
Pompa,70,12.38,1.82,6887.26%
Pompa,71,12.38,1.82,6887.26%
Pompa,72,12.38,1.839,6885.53%
Pompa,73,12.37,1.84,6794.72%
Pompa,74,12.37,1.82,6796.58%
Pompa,75,12.37,1.83,6795.74%
Pompa,76,12.37,1.82,6796.58%
Pompa,77,12.37,1.8,6798.43%
Pompa,78,12.37,1.8,6798.43%
Pompa,79,12.37,1.81,6797.47%
Pompa,80,12.36,1.82,6705.9%
Pompa,81,12.36,1.82,6705.9%
Pompa,82,12.36,1.8,6707.74%
Pompa,83,12.36,1.81,6706.78%
Pompa,84,12.36,1.81,6706.78%
Pompa,85,12.36,1.81,6706.78%
Pompa,86,12.36,1.8,6707.74%
Pompa,87,12.36,1.82,6705.9%
Pompa,88,12.36,1.83,6705.06%
Pompa,89,12.35,1.83,6614.37%
Pompa,90,12.35,1.82,6615.22%
Pompa,91,12.34,1.84,6522.61%
Pompa,92,12.34,1.84,6522.61%
Pompa,93,12.33,1.83,6432.98%
Pompa,94,12.33,1.83,6432.98%
Pompa,95,12.33,1.83,6432.98%
Pompa,96,12.33,1.83,6432.98%
Pompa,97,12.33,1.83,6432.98%
Pompa,98,12.32,1.82,6343.18%
Pompa,99,12.32,1.83,6342.28%
Pompa,100,12.32,1.83,6342.28%
Pompa,101,12.32,1.82,6343.18%
Pompa,102,12.32,1.81,6344.02%
Pompa,103,12.32,1.82,6343.18%
Pompa,104,12.31,1.83,6251.57%
Pompa,105,12.31,1.81,6253.33%
Pompa,106,12.31,1.81,6253.33%
Pompa,107,12.31,1.82,6252.5%
Pompa,108,12.31,1.82,6252.5%
Pompa,109,12.31,1.82,6252.5%
Pompa,110,12.31,1.82,6252.5%
Pompa,111,12.3,1.82,6161.82%
Pompa,112,12.3,1.82,6161.82%
Pompa,113,12.3,1.83,6160.87%
Pompa,114,12.3,1.83,6160.87%
Pompa,115,12.3,1.8,6163.61%
Pompa,116,12.3,1.81,6162.64%
Pompa,117,12.29,1.82,6071.14%
Pompa,118,12.29,1.82,6071.14%
Pompa,119,12.29,1.82,6071.14%
Pompa,120,12.29,1.82,6071.14%
Pompa,121,12.29,1.84,6069.09%
Pompa,122,12.28,1.83,5979.46%
Pompa,123,12.28,1.82,5980.46%
Pompa,124,12.28,1.83,5979.46%
Rest,Rest 12 menit,12.47,1.8627375000000002,80.0%
Pompa,125,12.32,1.9,6332.89%
Pompa,126,12.29,1.84,6069.09%
Pompa,127,12.29,1.84,6069.09%
Pompa,128,12.29,1.84,6069.09%
Pompa,129,12.27,1.86,5884.81%
Pompa,130,12.27,1.83,5888.76%
Pompa,131,12.27,1.83,5888.76%
Pompa,132,12.27,1.83,5888.76%
Pompa,133,12.27,1.84,5887.61%
Pompa,134,12.26,1.84,5796.86%
Pompa,135,12.26,1.83,5798.06%
Pompa,136,12.26,1.83,5798.06%
Pompa,137,12.26,1.83,5798.06%
Pompa,138,12.26,1.82,5799.1%
Pompa,139,12.26,1.82,5799.1%
Pompa,140,12.25,1.81,5709.22%
Pompa,141,12.25,1.82,5708.41%
Pompa,142,12.25,1.81,5709.22%
Pompa,143,12.25,1.82,5708.41%
Pompa,144,12.25,1.83,5707.35%
Pompa,145,12.25,1.82,5708.41%
Pompa,146,12.25,1.82,5708.41%
Pompa,147,12.25,1.82,5708.41%
Pompa,148,12.25,1.83,5707.35%
Pompa,149,12.25,1.83,5707.35%
Pompa,150,12.22,1.84,5433.83%
Pompa,151,12.23,1.83,5525.94%
Pompa,152,12.23,1.83,5525.94%
Pompa,153,12.23,1.85,5523.19%
Pompa,154,12.23,1.83,5525.94%
Pompa,155,12.23,1.84,5524.59%
Pompa,156,12.21,1.83,5344.47%
Pompa,157,12.21,1.84,5343.07%
Pompa,158,12.21,1.84,5343.07%
Pompa,159,12.21,1.84,5343.07%
Pompa,160,12.21,1.86,5340.27%
Pompa,161,12.21,1.84,5343.07%
Pompa,162,12.2,1.86,5249.52%
Pompa,163,12.2,1.83,5253.72%
Pompa,164,12.2,1.83,5253.72%
Pompa,165,12.2,1.82,5254.91%
Rest,Rest 10 menit,12.39,1.8627375000000002,77.0%
Pompa,166,12.25,1.92,5693.85%
Pompa,167,12.22,1.86,5431.0%
Pompa,168,12.2,1.9,5243.09%
Pompa,169,12.2,1.88,5246.4%
Pompa,170,12.2,1.88,5246.4%
Pompa,171,12.2,1.87,5248.0%
Pompa,172,12.19,1.86,5158.73%
Pompa,173,12.19,1.88,5155.55%
Pompa,174,12.18,1.86,5067.92%
Pompa,175,12.18,1.85,5069.4%
Pompa,176,12.18,1.85,5069.4%
Pompa,177,12.18,1.85,5069.4%
Pompa,178,12.18,1.84,5070.79%
Pompa,179,12.17,1.84,4980.02%
Pompa,180,12.17,1.84,4980.02%
Pompa,181,12.17,1.85,4978.64%
Pompa,182,12.17,1.84,4980.02%
Pompa,183,12.17,1.84,4980.02%
Pompa,184,12.17,1.84,4980.02%
Pompa,185,12.16,1.84,4889.27%
Pompa,186,12.16,1.84,4889.27%
Pompa,187,12.16,1.83,4890.69%
Pompa,188,12.15,1.84,4798.53%
Pompa,189,12.15,1.82,4801.33%
Pompa,190,12.15,1.81,4802.41%
Pompa,191,12.15,1.839,4798.67%
Pompa,192,12.14,1.82,4710.57%
Pompa,193,12.14,1.839,4707.91%
Pompa,194,12.14,1.83,4709.15%
Pompa,195,12.14,1.84,4707.76%
Pompa,196,12.14,1.84,4707.76%
Pompa,197,12.13,1.83,4618.4%
Pompa,198,12.13,1.83,4618.4%
Pompa,199,12.13,1.84,4616.95%
Pompa,200,12.12,1.84,4526.11%
Pompa,201,12.12,1.83,4527.66%
Pompa,202,12.12,1.83,4527.66%
Rest,Rest 12 menit,12.3,1.8627375000000002,68.0%
Pompa,203,12.15,1.92,4785.73%
Pompa,204,12.13,1.86,4613.78%
Pompa,205,12.13,1.86,4613.78%
Pompa,206,12.13,1.89,4609.09%
Pompa,207,12.13,1.88,4610.79%
